CAMIS,DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,AvgScore
50087212,MOTHER'S FAMOUS CRUST,4809,CHURCH AVENUE,11203,3474892134,Caribbean,40.65165583,-73.93212896,28.5
50087671,POPEYES,736,LINDEN BOULEVARD,11203,3476638668,Chicken,40.65376044,-73.93107085,9.5
50087674,POPEYES,520,CLARKSON AVENUE,11203,7185522921,Chicken,40.65587736,-73.94225928,7.5
50088381,EMPIRE CHINESE RESTAURANT,17817,UNION TPKE,11366,9176370523,Chinese,40.72645636,-73.78955121,11
50088523,AMELIA RESTAURANT,24513,FRANCIS LEWIS BLVD,11422,7189781945,Latin American,40.66478303,-73.73490314,8.5
50101121,369 BBQ,4620,KISSENA BLVD,11355,7186120923,Asian/Asian Fusion,40.75014948,-73.81863835,18
50101867,JAMOY,208,THOMPSON STREET,10012,6465900122,American,40.72883425,-73.99931087,11
50104178,KENNEDY FRIED CHICKEN,3988,WHITE PLAINS ROAD,10466,7188814868,Chicken,40.88818879,-73.86023227,11.5
50104818,BLUE BOTTLE COFFEE,2901,BROADWAY,10025,9174859549,Coffee/Tea,40.80617349,-73.96525031,16.5
50104958,ONE MORE CHARM,236,7 AVENUE,11215,9292502052,Thai,40.66977037,-73.97918578,9
50105074,KRISPY KREME DOUGHNUT,319,WEST  125 STREET,10027,3152037060,Donuts,40.81042022,-73.95175191,8
50105457,STARBUCKS,284,SAINT NICHOLAS AVENUE,10027,2126519656,Coffee/Tea,40.81028896,-73.95291883,10
50105471,THE EMPANADA SPOT WILLIAMSBURG,346,GRAHAM AVENUE,11211,3477630737,Mexican,40.71467973,-73.94440135,15.66666667
50105514,SEMICOLON,9,EDWARD M MORGAN PLACE,10032,6467915518,Coffee/Tea,40.83465895,-73.94542098,29.33333333
50105717,LITTLE TOWN COFFEE SHOP,9017,130TH ST,11418,9172996593,Coffee/Tea,40.69867439,-73.82061818,18
50105867,TACO ZONE,887,5 AVENUE,11232,3477991055,Tex-Mex,40.65144257,-74.00370473,8
50106523,SIMPLY GREEK,242,5 AVENUE,11215,7183048155,Greek,40.67538652,-73.98116684,31
50106610,3 BROS 99 CENTS PIZZA,2503,30TH AVE,11102,9292789914,Pizza,40.76856209,-73.92494783,19.28571429
50106713,LA CARRETA RESTAURANT,407,51 STREET,11220,7185673566,Spanish,40.64561476,-74.01266633,9
50107153,BELLUCCI PIZZA,2904,30TH AVE,11102,9173755655,Pizza,40.76780074,-73.92336384,12.5
50107262,SIPPY CAFE,200,FRANKLIN STREET,11222,3479779167,Coffee/Tea,40.73232064,-73.95798233,8.5
50107299,TERRACE BK RESTAURANT,280,5 AVENUE,11215,3478699992,American,40.6741927,-73.98212252,25
50107468,CHIPOTLE MEXICAN GRILL #3741,4101,4 AVENUE,11232,7182084207,Tex-Mex,40.65141768,-74.00741306,10
50107521,WILLOW,199,8 AVENUE,10011,7186062179,Vegan,40.74355442,-73.99975821,13
50108597,TOFU BOX,632,GRAND STREET,11211,7183884232,Vegetarian,40.71135421,-73.94679202,12
50109176,RINCON LATINO,3912,103RD ST,11368,3477967839,Spanish,40.7504718,-73.8630199,12.25
50109395,KENNEDY FRIED CHICKEN,938,UTICA AVENUE,11203,7187031570,Chicken,40.65034543,-73.93024192,2
50109601,INSOMNIA COOKIES,125,CHURCH STREET,10007,2153831320,American,40.71395728,-74.00868618,2
50111042,BLANK STREET,253,BERGEN STREET,11217,9175103862,Coffee/Tea,40.68399724,-73.98347197,12
50111085,CAFE 2000,4008,JUNCTION BLVD,11368,7182051095,Spanish,40.74895031,-73.86931735,6.5
50111445,THANKS GIVING CHINESE FOOD,1736,NOSTRAND AVENUE,11226,7182825307,Other,40.64360307,-73.94881011,18
50112711,PUPUSERIA IZALCO RESTAURANT,6405,ROOSEVELT AVE,11377,7182166071,Latin American,40.7459618,-73.89987308,11.33333333
30112340,WENDY'S,469,FLATBUSH AVENUE,11225,7182875005,Hamburgers,40.66265152,-73.96208137,12.33333333
40365525,DONUT PUB,203,WEST   14 STREET,10011,2129290126,Donuts,40.73874834,-74.00014434,19.25
40366879,LA FUSTA RESTAURANT,80-32,BAXTER AVENUE,11373,7184298222,Latin American,40.7447068,-73.88456967,18.5
40367749,LENNY'S CLAM BAR,161-03,CROSSBAY BOULEVARD,11414,7188455100,Seafood,40.65555094,-73.83896749,11
40381551,CLARK'S RESTAURANT,80,CLARK STREET,11201,7188555484,American,40.69751075,-73.99325978,13.33333333
40393154,AMSTERDAM BILLIARDS,85,4 AVENUE,10003,2129950333,American,40.73169663,-73.99027595,5.5
40393905,GRANDSTAND TAVERN,8535,GRAND AVENUE,11373,7184789633,Irish,40.73566734,-73.88096617,8.5
40395511,WHITE CASTLE,2900,EAST TREMONT AVENUE,10461,7187927659,Hamburgers,40.84063045,-73.84095729,11
40399174,GIGINO TRATTORIA,323,GREENWICH STREET,10013,2124311112,Italian,40.71737984,-74.01070316,13
40424247,BAGELS DELI,7039,PARSONS BOULEVARD,11365,7185913615,Sandwiches,40.73063534,-73.81086563,13
40513798,SOHO GRAND HOTEL,310,WEST BROADWAY,10013,2129653000,American,40.72170601,-74.0043472,12.33333333
40635781,CARAVAN OF DREAMS,405,EAST    6 STREET,10009,2122541613,Vegetarian,40.72623133,-73.98576329,17.5
40638566,FRANCESCO'S PIZZERIA RESTAURANT,7029,PARSONS BOULEVARD,11365,7185916161,Pizza,40.73113484,-73.81083534,30.5
40656139,TRIBECA ROOFTOP (10 DESBROSSES STREET),480,CANAL STREET,10013,2126252600,American,40.72388789,-74.00819682,9.5
40711694,FAY DA BAKERY,83,MOTT STREET,10013,2127913884,Bakery Products/Desserts,40.71652944,-73.99794741,6
40715364,STARBUCKS,665,BROADWAY,10012,9175340799,Coffee/Tea,40.72734649,-73.99516175,10
40716479,LIFFY II BAR,5009,BROADWAY,10034,2125447669,Irish,40.86915152,-73.91707102,16
40736135,STARBUCKS,200,MADISON AVENUE,10016,2126846873,Coffee/Tea,40.74852109,-73.98241288,7
40763881,GNOCCO,337,EAST   10 STREET,10009,2126771913,Italian,40.72711712,-73.98049913,29
40792697,MESKEREM,124,MACDOUGAL STREET,10012,2127778111,Ethiopian,40.73004469,-74.00043297,5
40868583,WHITE CASTLE,1545,MYRTLE AVENUE,11237,7184187387,Hamburgers,40.69932274,-73.91340979,6.5
40925558,PRET A MANGER,400,PARK AVENUE,10022,2122074101,Soups/Salads/Sandwiches,40.75977256,-73.97209696,9
40968567,L. I. C. BAR,45-58,VERNON BOULEVARD,11101,7187865400,Irish,40.74724457,-73.95259544,7
40983698,YUCA BAR & RESTAURANT,111,AVENUE A,10009,2129829533,Latin American,40.72614319,-73.98347591,14.5
40998983,"CASA MONO, BAR JAMON (NEXT DOOR)",52,IRVING PLACE,10003,2122532773,Tapas,40.73595622,-73.98731643,19
40999540,LA ESQUINA CRIOLLA,94-67,CORONA AVENUE,11373,7186995579,Latin American,40.74230266,-73.86946758,7
41004293,FORT WASHINGTON BAKERY AND DELI,808,WEST  181 STREET,10033,2127951891,Sandwiches,40.85101144,-73.93869505,18.5
41007188,SUBWAY,10811,CORONA AVENUE,11368,7182711633,Sandwiches,40.74300413,-73.85477477,5
41009780,BELLEROSE FAMOUS PIZZA,7909,MAIN STREET,11367,7189699800,Pizza,40.7184868,-73.81753438,14
41014056,REYES RESTAURANT,4754,46 STREET,11377,7187529577,Latin American,40.74016371,-73.91930716,21.5
41016607,EAST RIVER,97,SOUTH    6 STREET,11249,7183020511,American,40.71080395,-73.9647772,13
41054554,PHEBES,359,BOWERY STREET,10003,2123581902,American,40.72682752,-73.99162603,7
41061082,NINTH STREET ESPRESSO,700,EAST    9 STREET,10009,2123589225,Coffee/Tea,40.72521726,-73.97784793,15
41074503,FAY DA BAKERY,8612,JUSTICE AVE,11373,7182055835,Bakery Products/Desserts,40.73764769,-73.8770546,19.75
41085439,INES' BAKERY,948,4 AVENUE,11232,7187880594,Bakery Products/Desserts,40.65444259,-74.00428514,17.25
41088457,JOE,9,EAST   13 STREET,10003,2129247400,Coffee/Tea,40.7350592,-73.99351216,13
41117663,RIVIERA,3448,STEINWAY STREET,11101,7189376664,American,40.75591741,-73.9214898,10
41118794,TAQUERIA COCOYOC,211,WYCKOFF AVENUE,11237,7184974489,Mexican,40.70223954,-73.91590535,19.33333333
41150437,DUNKIN,2344,FLATBUSH AVENUE,11234,7183380530,Donuts,40.61292044,-73.92607795,6
41155817,MCDONALD'S,501,BAY STREET,10304,7185412661,Hamburgers,40.62983473,-74.07668968,15
41168644,TETE-A-TETE,2601,EAST   14 STREET,11235,7186760783,Russian,40.58782899,-73.9552473,11.33333333
41189470,CARRO CAFE,3472,FULTON STREET,11208,7183489406,Latin American,40.68498951,-73.86744566,28
41216820,WYCKOFF STARR,30,WYCKOFF AVENUE,11237,8025981409,Coffee/Tea,40.70622399,-73.92232762,10.5
41275015,VANKA CAFE,3810,NOSTRAND AVENUE,11235,3477024023,Russian,40.5908166,-73.94004741,14.5
41337043,CARVEL,2744,CONEY ISLAND AVENUE,11235,7189348173,Frozen Desserts,40.58974131,-73.96054952,13.33333333
41338149,PRET A MANGER,1020,6 AVENUE,10018,6466881061,Soups/Salads/Sandwiches,40.75239717,-73.98586596,2
41378724,SCHNIPPER'S QUALITY KITCHEN,620,8 AVENUE,10018,2129212400,Hamburgers,40.75603172,-73.99065138,9
41434593,VETRO,16449,CROSS BAY BOULEVARD,11414,7188438387,American,40.64997433,-73.83758635,22
41454948,KING WOK,18420,HORACE HARDING EXPRESSWAY,11365,7183210600,Chinese,40.73968675,-73.78987012,17.5
41475207,BROTHERS PIZZERIA,18504,HORACE HARDING EXPRESSWAY,11365,7184457888,Pizza,40.73990214,-73.78908636,10
41486245,NEW PEKING,344,CLASSON AVENUE,11238,7182308881,Chinese,40.68876461,-73.9599931,35.25
41490406,KING HOUSE,2381,WESTCHESTER AVENUE,10461,7185188833,Chinese,40.83697372,-73.84646645,3
41576522,EL NUEVO VALLE #2 RESTAURANT LECHONERA,855,EAST  180 STREET,10460,7182209591,Latin American,40.84558097,-73.88364216,11.5
41603858,FU XING HOUSE,3335,FULTON STREET,11208,7182771710,Chinese,40.683557,-73.87252516,33.25
41613203,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,86,EAST   98 STREET,11212,3474251149,Caribbean,40.66467101,-73.92258525,19.5
41630109,GOLAN HEIGHTS,2553,AMSTERDAM AVENUE,10033,2127957842,Jewish/Kosher,40.85160928,-73.92832389,24
41645250,MANDARIN HOUSE,2348,FLATBUSH AVENUE,11234,7182521719,Chinese,40.61285451,-73.92599879,17
41655272,PAPI'S PIZZERIA,1422,ST NICHOLAS AVENUE,10033,6466926840,Pizza,40.84939748,-73.9336578,7
41658672,XING HUI LINDA KITCHEN,4006,EAST TREMONT AVENUE,10465,7189316700,Chinese,40.82020557,-73.81793726,16
50010419,SWEET LIFE PASTRY,3887,BROADWAY,10032,2123040265,Bakery Products/Desserts,40.83744339,-73.94241189,11
50016488,DA CLAUDIO,21,ANN STREET,10038,2122852668,Italian,40.71077068,-74.00769382,8
50017778,JUICES FOR LIFE,3463,EAST TREMONT AVENUE,10465,3472819060,"Juice, Smoothies, Fruit Salads",40.83197035,-73.82734379,36.5
50036043,THE MALT HOUSE,11,MAIDEN LANE,10038,6466827577,American,40.7095601,-74.00948635,7.5
50047278,ISLAND EXPRESS,998,FLATBUSH AVENUE,11226,7184699049,Caribbean,40.64700215,-73.95813357,11
50047472,FUMO RESTAURANT,1600,AMSTERDAM AVENUE,10031,6466926675,Italian,40.82132454,-73.95047579,14
50048511,THE BOIL,17,WAVERLY PLACE,10003,6468337110,American,40.73016258,-73.99443631,12
50053453,YOGURT CITY,2027,EMMONS AVENUE,11235,7183391093,Frozen Desserts,40.58371937,-73.94723252,2.5
50053608,CHINA WOK,888,5 AVENUE,11232,7186336661,Chinese,40.65133002,-74.00384888,6.5
50054661,CINCO DE MAYO RESTAURANT,1202,CORTELYOU ROAD,11218,7188380207,Mexican,40.64009092,-73.96689732,13
50058063,1 HOTEL BROOKLYN BRIDGE,90,FURMAN STREET,11201,3476962500,American,40.70065639,-73.9960004,14.5
50058953,DOMINO'S,1988,AMSTERDAM AVENUE,10032,2129233030,Pizza,40.83377589,-73.94137432,21
50060054,SBARRO,2509,FLATBUSH AVENUE,11234,7182583869,Pizza,40.6091737,-73.92178549,9
50061117,CAFE BILBOQUET,26,EAST   60 STREET,10022,2127513036,French,40.76406225,-73.97062952,33
50064555,SYCAMORE,1118,CORTELYOU ROAD,11218,3472405850,American,40.6397453,-73.96766858,18.5
50064557,VENIERO'S BAKERY,340-342,E 11TH ST,10003,2126747070,Bakery Products/Desserts,40.72973354,-73.9848966,11.33333333
50064616,EIGHT TURN CREPE (DEKALB MARKET),445,ALBEE SQUARE WEST,11201,9293587988,Sandwiches,40.69082623,-73.98345225,4.333333333
50068986,MCDONALD'S #3880,3525,FORT HAMILTON PARKWAY,11218,7735058724,Hamburgers,40.64511516,-73.98690495,9.5
50070313,NAYA,488,MADISON AVENUE,10022,2129872222,Middle Eastern,40.75888115,-73.97485511,8.5
50078731,MCDONALD'S,5404,MYRTLE AVE,11385,7184567287,Hamburgers,40.69956494,-73.91070104,14.66666667
50079007,MILE END DELICATESSEN,97A,HOYT STREET,11217,7188527510,American,40.68750004,-73.98716703,17.33333333
50082933,THIS IS SOFIVE,2021,PITKIN AVENUE,11207,3477457544,American,40.67157141,-73.89806017,12.5
50083998,BROOKLYN PERK,605,FLATBUSH AVENUE,11225,3474582941,Coffee/Tea,40.65856126,-73.96048704,9
50086684,12TH ST. ALE HOUSE,192,2 AVENUE,10003,2122532323,Bottled Beverages,40.73128718,-73.98569726,5
50088201,LODUCA PIZZA,14,NEWKIRK PLAZA,11226,7188591501,Pizza,40.63500356,-73.96274928,8
50088430,THROGGS NECK FRIED CHICKEN,4011,EAST TREMONT AVENUE,10465,9297779190,Chicken,40.82007916,-73.81784005,20
50095003,TWO BROTHERS PIZZA,3039,BUHRE AVENUE,10461,7188246261,Pizza,40.84743707,-73.83110232,4
50095128,DOMINO'S,1758,PITKIN AVENUE,11212,7183854545,Pizza,40.67003474,-73.90828223,18.33333333
50098679,UNIQUE J. KITCHEN & BAKERY,4120,10 AVENUE,11219,3477896047,Bakery Products/Desserts,40.64319168,-73.99437873,35
50099883,LOS 3 POTRILLOS,9717,37TH AVE,11368,7184248786,Mexican,40.75185747,-73.86971948,31
50101679,WILD BIRDS,951,DEAN STREET,11238,6464200894,American,40.67817743,-73.95835187,9
50103178,D ROTI HUT,20801,JAMAICA AVE,11428,2038243747,Caribbean,40.71439509,-73.75210647,15.66666667
50103273,NYC FITNESS CLUB,4930,20 AVENUE,11204,7189753560,"Juice, Smoothies, Fruit Salads",40.62559811,-73.97656263,13
50104712,LOS 3 CHARROS MEXICAN RESTAURANT,57,LENOX AVENUE,10026,6466780891,Spanish,40.80001738,-73.95115268,13
50104795,LEVAIN BAKERY,351,AMSTERDAM AVENUE,10024,9174643782,Bakery Products/Desserts,40.78164707,-73.97940344,5
50105561,DAVIDOVICH BAKERY,79,CLINTON STREET,10002,6465595558,Bakery Products/Desserts,40.71882588,-73.98520933,22.33333333
50105755,FIRST HAND FOOD,14254,ROOSEVELT AVE,11354,9174466813,Chinese,40.76073281,-73.82540301,25.25
50105892,TIAN FU CUISINE,136-20,ROOSEVELT AVENUE,11354,3476543608,Chinese,40.75977791,-73.82923543,9
50106146,SFORNO PIZZA,2393,BROADWAY,10024,2125801808,Pizza,40.7893783,-73.97563804,16.66666667
50106397,MUM MEDITERRANEAN CUISINE,6628,FRESH POND RD,11385,5168082548,Egyptian,40.70814535,-73.89784532,19
50106520,HADROUMOT RESTAURANT,172,ATLANTIC AVENUE,11201,3472543607,Middle Eastern,40.69002852,-73.99365719,24
